FY,Month Grouping,Month (abbv),Region,Field Office,State,Port of Entry,Mode of Transportation,Measure Name,Category,Count
2022,FYTD,APR,Coastal/Interior,CHICAGO,OH,"COLUMBUS, OH (4103)",Air,Conveyances,Air,82
2022,FYTD,APR,Coastal/Interior,CHICAGO,OH,"COLUMBUS, OH (4103)",Air,Travelers,Air,2234
2022,FYTD,APR,Coastal/Interior,CHICAGO,OH,"DAYTON, OH (4104)",Air,Conveyances,Air,8
2022,FYTD,APR,Coastal/Interior,CHICAGO,OH,"DAYTON, OH (4104)",Air,Travelers,Air,50
2022,FYTD,APR,Coastal/Interior,CHICAGO,OH,DHL COURIER (4197),Air,Conveyances,Air,452
2022,FYTD,APR,Coastal/Interior,CHICAGO,OH,DHL COURIER (4197),Air,Travelers,Air,1350
2022,FYTD,APR,Coastal/Interior,CHICAGO,OH,EMERY COURIER (4195),Air,Conveyances,Air,7
2022,FYTD,APR,Coastal/Interior,CHICAGO,OH,EMERY COURIER (4195),Air,Travelers,Air,52
2022,FYTD,APR,Coastal/Interior,CHICAGO,OH,"TOLEDO, OH (4105)",Air,Conveyances,Air,38
2022,FYTD,APR,Coastal/Interior,CHICAGO,OH,"TOLEDO, OH (4105)",Air,Travelers,Air,140
2022,FYTD,APR,Coastal/Interior,CHICAGO,PA,"ERIE, PA (4106)",Air,Conveyances,Air,47
2022,FYTD,APR,Coastal/Interior,CHICAGO,PA,"ERIE, PA (4106)",Air,Travelers,Air,169
2022,FYTD,APR,Coastal/Interior,CHICAGO,SD,"SIOUX FALLS, SD (3502)",Air,Conveyances,Air,30
2022,FYTD,APR,Coastal/Interior,CHICAGO,SD,"SIOUX FALLS, SD (3502)",Air,Travelers,Air,118
2022,FYTD,APR,Coastal/Interior,CHICAGO,WI,APPLETON INTL ARPT (3781),Air,Conveyances,Air,3
2022,FYTD,APR,Coastal/Interior,CHICAGO,WI,APPLETON INTL ARPT (3781),Air,Travelers,Air,8
2022,FYTD,APR,Coastal/Interior,CHICAGO,WI,"GREEN BAY, WI (3703)",Air,Conveyances,Air,14
2022,FYTD,APR,Coastal/Interior,CHICAGO,WI,"GREEN BAY, WI (3703)",Air,Travelers,Air,44
2022,FYTD,APR,Coastal/Interior,CHICAGO,WI,"MILWAUKEE, WI (3701)",Air,Conveyances,Air,45
2022,FYTD,APR,Coastal/Interior,CHICAGO,WI,"MILWAUKEE, WI (3701)",Air,Travelers,Air,3661
2022,FYTD,APR,Coastal/Interior,CHICAGO,WI,"RACINE, WI (3708)",Air,Conveyances,Air,3
2022,FYTD,APR,Coastal/Interior,CHICAGO,WI,"RACINE, WI (3708)",Air,Travelers,Air,14
2022,FYTD,APR,Coastal/Interior,CHICAGO,WI,"SHEBOYGAN, WI (3707)",Air,Conveyances,Air,8
2022,FYTD,APR,Coastal/Interior,CHICAGO,WI,"SHEBOYGAN, WI (3707)",Air,Travelers,Air,41
2022,FYTD,APR,Coastal/Interior,HOUSTON,OK,"OKLAHOMA CITY, OK (5504)",Air,Conveyances,Air,8
2022,FYTD,APR,Coastal/Interior,HOUSTON,OK,"OKLAHOMA CITY, OK (5504)",Air,Travelers,Air,52
2022,FYTD,APR,Coastal/Interior,HOUSTON,OK,"TULSA, OK (5505)",Air,Conveyances,Air,10
2022,FYTD,APR,Coastal/Interior,HOUSTON,OK,"TULSA, OK (5505)",Air,Travelers,Air,51
2022,FYTD,APR,Coastal/Interior,HOUSTON,TX,ADDISON AIRPORT (5584),Air,Conveyances,Air,40
2022,FYTD,APR,Coastal/Interior,HOUSTON,TX,ADDISON AIRPORT (5584),Air,Travelers,Air,262
2022,FYTD,APR,Coastal/Interior,HOUSTON,TX,"AMARILLO, TX (5502)",Air,Conveyances,Air,3
2022,FYTD,APR,Coastal/Interior,HOUSTON,TX,"AMARILLO, TX (5502)",Air,Travelers,Air,15
2022,FYTD,APR,Coastal/Interior,HOUSTON,TX,"AUSTIN, TX (5506)",Air,Conveyances,Air,330
2022,FYTD,APR,Coastal/Interior,HOUSTON,TX,"AUSTIN, TX (5506)",Air,Travelers,Air,33225
2022,FYTD,APR,Coastal/Interior,HOUSTON,TX,COLLIN CNTY REGN'L APT (5585),Air,Conveyances,Air,10
2022,FYTD,APR,Coastal/Interior,HOUSTON,TX,COLLIN CNTY REGN'L APT (5585),Air,Travelers,Air,78
2022,FYTD,APR,Coastal/Interior,HOUSTON,TX,CONROE-NORTH (CXO) (5382),Air,Conveyances,Air,50
2022,FYTD,APR,Coastal/Interior,HOUSTON,TX,CONROE-NORTH (CXO) (5382),Air,Travelers,Air,290
2022,FYTD,APR,Coastal/Interior,HOUSTON,TX,"CORPUS CHRISTI, TX (5312)",Air,Conveyances,Air,7
